business_date,store_id,category_name,revenue_inr
2024-10-01,S01,Baby Care,36554.0
2024-10-01,S01,Bakery,3135.1
2024-10-01,S01,Beverages,7999.7699999999995
2024-10-01,S01,Bill-level adjustments,-1134.62
2024-10-01,S01,Biscuits & Snacks,1382.73
2024-10-01,S01,Confectionery,5938.9400000000005
2024-10-01,S01,Dairy,20671.99000000001
2024-10-01,S01,Edible Oils,20043.019999999997
2024-10-01,S01,Frozen & Ready to Eat,10835.8
2024-10-01,S01,Fruits & Vegetables,5886.22
2024-10-01,S01,Home Care,5638.44
2024-10-01,S01,Personal Care,6497.57
2024-10-01,S01,Spices & Masala,6763.03
2024-10-01,S01,Staples & Grains,15628.29
2024-10-01,S01,Stationery & General,6739.2
2024-10-01,S02,Baby Care,24764.870000000003
2024-10-01,S02,Bakery,1720.2600000000002
2024-10-01,S02,Beverages,3979.07
2024-10-01,S02,Bill-level adjustments,-933.58
2024-10-01,S02,Biscuits & Snacks,1513.1499999999999
2024-10-01,S02,Confectionery,6374.93
2024-10-01,S02,Dairy,19165.350000000002
2024-10-01,S02,Edible Oils,8363.94
2024-10-01,S02,Frozen & Ready to Eat,1068.02
2024-10-01,S02,Fruits & Vegetables,6107.789999999999
2024-10-01,S02,Home Care,6945.91
2024-10-01,S02,Personal Care,6814.67
2024-10-01,S02,Spices & Masala,2822.3599999999997
2024-10-01,S02,Staples & Grains,15390.22
2024-10-01,S02,Stationery & General,2640.7799999999997
2024-10-01,S03,Baby Care,18949.49
2024-10-01,S03,Bakery,4264.160000000001
2024-10-01,S03,Beverages,3892.56
2024-10-01,S03,Bill-level adjustments,-715.13
2024-10-01,S03,Biscuits & Snacks,1177.2
2024-10-01,S03,Confectionery,3301.0799999999995
2024-10-01,S03,Dairy,10351.060000000001
2024-10-01,S03,Edible Oils,15268.65
2024-10-01,S03,Frozen & Ready to Eat,10697.34
2024-10-01,S03,Fruits & Vegetables,3291.9199999999996
2024-10-01,S03,Home Care,5580.49
2024-10-01,S03,Personal Care,3879.8099999999995
2024-10-01,S03,Spices & Masala,5641.99
2024-10-01,S03,Staples & Grains,14841.950000000003
2024-10-01,S03,Stationery & General,5455.17
2024-10-01,S04,Baby Care,8364.61
2024-10-01,S04,Bakery,895.6800000000001
2024-10-01,S04,Beverages,2486.5600000000004
2024-10-01,S04,Bill-level adjustments,-483.62
2024-10-01,S04,Biscuits & Snacks,1931.6699999999996
2024-10-01,S04,Confectionery,4355.25
2024-10-01,S04,Dairy,6869.86
2024-10-01,S04,Edible Oils,19179.47
2024-10-01,S04,Frozen & Ready to Eat,4919.759999999999
2024-10-01,S04,Fruits & Vegetables,3208.22
2024-10-01,S04,Home Care,7095.17
2024-10-01,S04,Personal Care,10120.610000000002
2024-10-01,S04,Spices & Masala,2763.8199999999997
2024-10-01,S04,Staples & Grains,34003.189999999995
2024-10-01,S04,Stationery & General,2109.75
2024-10-01,S05,Baby Care,9760.57
2024-10-01,S05,Bakery,864.75
2024-10-01,S05,Beverages,2848.2100000000005
2024-10-01,S05,Bill-level adjustments,-813.52
2024-10-01,S05,Biscuits & Snacks,904.51
2024-10-01,S05,Confectionery,2233.8
2024-10-01,S05,Dairy,5310.500000000001
2024-10-01,S05,Edible Oils,1896.61
2024-10-01,S05,Frozen & Ready to Eat,3707.9300000000003
2024-10-01,S05,Fruits & Vegetables,1481.1599999999999
2024-10-01,S05,Home Care,3775.29
2024-10-01,S05,Personal Care,3337.56
2024-10-01,S05,Spices & Masala,2914.96
2024-10-01,S05,Staples & Grains,18027.92
2024-10-01,S05,Stationery & General,4895.54
2024-10-01,S06,Baby Care,18059.030000000002
2024-10-01,S06,Bakery,2329.9399999999996
2024-10-01,S06,Beverages,2781.2
2024-10-01,S06,Bill-level adjustments,-382.05
2024-10-01,S06,Biscuits & Snacks,2577.89
2024-10-01,S06,Confectionery,6719.82
2024-10-01,S06,Dairy,12175.810000000001
2024-10-01,S06,Edible Oils,15229.519999999999
2024-10-01,S06,Frozen & Ready to Eat,6923.84
2024-10-01,S06,Fruits & Vegetables,1948.8799999999999
2024-10-01,S06,Home Care,8732.199999999999
2024-10-01,S06,Personal Care,7856.75
2024-10-01,S06,Spices & Masala,5339.62
2024-10-01,S06,Staples & Grains,9410.380000000001
2024-10-01,S06,Stationery & General,6284.53
2024-10-01,S07,Baby Care,25872.93
2024-10-01,S07,Bakery,2839.9399999999996
2024-10-01,S07,Beverages,4195.7300000000005
2024-10-01,S07,Bill-level adjustments,-718.26
2024-10-01,S07,Biscuits & Snacks,1387.0700000000002
2024-10-01,S07,Confectionery,3192.2599999999998
2024-10-01,S07,Dairy,7032.300000000001
2024-10-01,S07,Edible Oils,32775.74
2024-10-01,S07,Frozen & Ready to Eat,5844.36
2024-10-01,S07,Fruits & Vegetables,4561.370000000001
2024-10-01,S07,Home Care,4540.53
2024-10-01,S07,Personal Care,3342.43
2024-10-01,S07,Spices & Masala,3258.1299999999997
2024-10-01,S07,Staples & Grains,29360.539999999997
2024-10-01,S07,Stationery & General,8155.579999999999
2024-10-01,S08,Baby Care,13979.960000000001
2024-10-01,S08,Bakery,2869.62
2024-10-01,S08,Beverages,2519.9
2024-10-01,S08,Bill-level adjustments,-448.58
2024-10-01,S08,Biscuits & Snacks,1680.5299999999997
2024-10-01,S08,Confectionery,2438.26
2024-10-01,S08,Dairy,4375.39
2024-10-01,S08,Edible Oils,12260.880000000001
2024-10-01,S08,Frozen & Ready to Eat,1869.6000000000001
2024-10-01,S08,Fruits & Vegetables,1238.4999999999998
2024-10-01,S08,Home Care,4228.27
2024-10-01,S08,Personal Care,4793.469999999999
2024-10-01,S08,Spices & Masala,2083.15
2024-10-01,S08,Staples & Grains,19869.64
2024-10-01,S08,Stationery & General,2700.7400000000002
2024-10-01,S09,Baby Care,8232.75
2024-10-01,S09,Bakery,1208.99
2024-10-01,S09,Beverages,2202.1200000000003
2024-10-01,S09,Bill-level adjustments,-335.82
2024-10-01,S09,Biscuits & Snacks,1587.4500000000003
2024-10-01,S09,Confectionery,1166.7199999999998
2024-10-01,S09,Dairy,7840.539999999998
2024-10-01,S09,Edible Oils,12589.59
2024-10-01,S09,Frozen & Ready to Eat,2645.5
2024-10-01,S09,Fruits & Vegetables,1799.9900000000002
2024-10-01,S09,Home Care,-497.01
2024-10-01,S09,Personal Care,6024.549999999999
2024-10-01,S09,Spices & Masala,2846.2099999999996
2024-10-01,S09,Staples & Grains,3397.7299999999996
2024-10-01,S09,Stationery & General,2995.25
2024-10-01,S10,Baby Care,18976.19
2024-10-01,S10,Bakery,2356.08
2024-10-01,S10,Beverages,6282.929999999999
2024-10-01,S10,Bill-level adjustments,-2131.59
2024-10-01,S10,Biscuits & Snacks,1419.71
2024-10-01,S10,Confectionery,3740.6000000000004
2024-10-01,S10,Dairy,11592.039999999999
2024-10-01,S10,Edible Oils,29504.82
2024-10-01,S10,Frozen & Ready to Eat,12383.93
2024-10-01,S10,Fruits & Vegetables,5210.18
2024-10-01,S10,Home Care,12142.97
2024-10-01,S10,Personal Care,8455.96
2024-10-01,S10,Spices & Masala,5168.69
2024-10-01,S10,Staples & Grains,22770.45
2024-10-01,S10,Stationery & General,5798.04
2024-10-01,S11,Baby Care,18232.3
2024-10-01,S11,Bakery,2764.52
2024-10-01,S11,Beverages,4653.4
2024-10-01,S11,Bill-level adjustments,-1220.6499999999999
2024-10-01,S11,Biscuits & Snacks,1492.0300000000002
2024-10-01,S11,Confectionery,1842.02
2024-10-01,S11,Dairy,6238.280000000001
2024-10-01,S11,Edible Oils,13734.85
2024-10-01,S11,Frozen & Ready to Eat,3009.1400000000003
2024-10-01,S11,Fruits & Vegetables,2898.1300000000006
2024-10-01,S11,Home Care,4179.79
2024-10-01,S11,Personal Care,1756.7800000000002
2024-10-01,S11,Spices & Masala,5578.7
2024-10-01,S11,Staples & Grains,16067.829999999998
2024-10-01,S11,Stationery & General,8978.07
2024-10-01,S12,Baby Care,12755.72
2024-10-01,S12,Bakery,2712.31
2024-10-01,S12,Beverages,7341.94
2024-10-01,S12,Bill-level adjustments,-1351.94
2024-10-01,S12,Biscuits & Snacks,1503.35
2024-10-01,S12,Confectionery,1544.6
2024-10-01,S12,Dairy,6402.88
2024-10-01,S12,Edible Oils,26900.890000000003
2024-10-01,S12,Frozen & Ready to Eat,6411.840000000001
2024-10-01,S12,Fruits & Vegetables,2480.34
2024-10-01,S12,Home Care,1700.26
2024-10-01,S12,Personal Care,4617.65
2024-10-01,S12,Spices & Masala,3766.3900000000003
2024-10-01,S12,Staples & Grains,13270.1
2024-10-01,S12,Stationery & General,5867.219999999999
2024-10-02,S01,Baby Care,33292.35
2024-10-02,S01,Bakery,5068.68
2024-10-02,S01,Beverages,10953.140000000001
2024-10-02,S01,Bill-level adjustments,-645.59
2024-10-02,S01,Biscuits & Snacks,1752.77
2024-10-02,S01,Confectionery,4075.1800000000003
2024-10-02,S01,Dairy,10981.2
2024-10-02,S01,Edible Oils,35340.72
2024-10-02,S01,Frozen & Ready to Eat,15648.779999999997
2024-10-02,S01,Fruits & Vegetables,5146.99
2024-10-02,S01,Home Care,6848.94
2024-10-02,S01,Personal Care,14461.29
2024-10-02,S01,Spices & Masala,3934.53
2024-10-02,S01,Staples & Grains,26814.239999999998
2024-10-02,S01,Stationery & General,5572.580000000001
2024-10-02,S02,Baby Care,29308.22
2024-10-02,S02,Bakery,4616.3
2024-10-02,S02,Beverages,4157.0
2024-10-02,S02,Bill-level adjustments,-2268.61
2024-10-02,S02,Biscuits & Snacks,2062.86
2024-10-02,S02,Confectionery,5282.25
2024-10-02,S02,Dairy,13707.69
2024-10-02,S02,Edible Oils,30232.58
2024-10-02,S02,Frozen & Ready to Eat,6638.2300000000005
2024-10-02,S02,Fruits & Vegetables,4172.679999999999
2024-10-02,S02,Home Care,10477.669999999998
2024-10-02,S02,Personal Care,14331.460000000001
2024-10-02,S02,Spices & Masala,5455.54
2024-10-02,S02,Staples & Grains,33106.69
2024-10-02,S02,Stationery & General,4944.99
2024-10-02,S03,Baby Care,18175.3
2024-10-02,S03,Bakery,3453.4900000000007
2024-10-02,S03,Beverages,7506.58
2024-10-02,S03,Bill-level adjustments,-2688.92
2024-10-02,S03,Biscuits & Snacks,2822.18
2024-10-02,S03,Confectionery,5428.81
2024-10-02,S03,Dairy,17961.91
2024-10-02,S03,Edible Oils,32431.939999999995
2024-10-02,S03,Frozen & Ready to Eat,5273.91
2024-10-02,S03,Fruits & Vegetables,2972.2000000000003
2024-10-02,S03,Home Care,13639.579999999998
2024-10-02,S03,Personal Care,9493.39
2024-10-02,S03,Spices & Masala,7622.9
2024-10-02,S03,Staples & Grains,23636.79
2024-10-02,S03,Stationery & General,11424.38
2024-10-02,S04,Baby Care,10933.02
2024-10-02,S04,Bakery,600.88
2024-10-02,S04,Beverages,5792.820000000001
2024-10-02,S04,Bill-level adjustments,-732.5699999999999
2024-10-02,S04,Biscuits & Snacks,587.2
2024-10-02,S04,Confectionery,2712.27
2024-10-02,S04,Dairy,7398.070000000001
2024-10-02,S04,Edible Oils,6496.73
2024-10-02,S04,Frozen & Ready to Eat,3821.5699999999997
2024-10-02,S04,Fruits & Vegetables,3124.87
2024-10-02,S04,Home Care,2777.49
2024-10-02,S04,Personal Care,5225.820000000001
2024-10-02,S04,Spices & Masala,3442.8700000000003
2024-10-02,S04,Staples & Grains,16876.28
2024-10-02,S04,Stationery & General,4184.26
2024-10-02,S05,Baby Care,9262.64
