month,line_type,raw_rows,raw_amount,curated_rows,curated_amount,amount_difference,row_difference
2024-01,DISCOUNT,1797,-413697.21,,,413697.21,-1797.0
2024-01,RETURN,1258,-906526.05,1258.0,-906526.05,0.0,0.0
2024-01,SALE,56393,40037808.07,56393.0,40037808.07,0.0,0.0
2024-01,TAX,12518,3321045.87,,,-3321045.87,-12518.0
2024-01,TENDER,12518,41767117.2,,,-41767117.2,-12518.0
2024-01,VOID,402,-271513.48,391.0,-274688.95,-3175.47,-11.0
2024-02,DISCOUNT,1528,-350042.85,,,350042.85,-1528.0
2024-02,RETURN,1124,-800657.77,1124.0,-800657.77,0.0,0.0
2024-02,SALE,50839,36213508.79,50839.0,36213508.79,0.0,0.0
2024-02,TAX,11355,3029848.74,,,-3029848.74,-11355.0
2024-02,TENDER,11355,37916934.29,,,-37916934.29,-11355.0
2024-02,VOID,275,-175722.62,268.0,-177483.65,-1761.03,-7.0
2024-03,DISCOUNT,1865,-422529.83,,,422529.83,-1865.0
2024-03,RETURN,1155,-872421.34,1155.0,-872421.34,0.0,0.0
2024-03,SALE,61052,43570195.04,61052.0,43570195.04,0.0,0.0
2024-03,TAX,13602,3671749.71,,,-3671749.71,-13602.0
2024-03,TENDER,13602,45643398.8,,,-45643398.8,-13602.0
2024-03,VOID,435,-303594.78,429.0,-304824.79,-1230.01,-6.0
2024-04,DISCOUNT,1640,-377682.92,,,377682.92,-1640.0
2024-04,RETURN,1144,-862539.3,1144.0,-862539.3,0.0,0.0
2024-04,SALE,55119,39472526.03,55119.0,39472526.03,0.0,0.0
2024-04,TAX,12226,3276377.21,,,-3276377.21,-12226.0
2024-04,TENDER,12226,41234834.58,,,-41234834.58,-12226.0
2024-04,VOID,435,-273846.44,426.0,-275707.16,-1860.72,-9.0
2024-05,DISCOUNT,1829,-425927.51,,,425927.51,-1829.0
2024-05,RETURN,1224,-876286.4,1224.0,-876286.4,0.0,0.0
2024-05,SALE,60065,43314875.79,60065.0,43314875.79,0.0,0.0
2024-05,TAX,13296,3618849.66,,,-3618849.66,-13296.0
2024-05,TENDER,13296,45383566.06,,,-45383566.06,-13296.0
2024-05,VOID,355,-247945.48,353.0,-248319.73,-374.25,-2.0
2024-06,DISCOUNT,1639,-369141.79,,,369141.79,-1639.0
2024-06,RETURN,1277,-938795.2,1277.0,-938795.2,0.0,0.0
2024-06,SALE,56419,40519995.07,56419.0,40519995.07,0.0,0.0
2024-06,TAX,12605,3400478.04,,,-3400478.04,-12605.0
2024-06,TENDER,12605,42387560.86,,,-42387560.86,-12605.0
2024-06,VOID,343,-224975.26,331.0,-226910.74,-1935.48,-12.0
2024-07,DISCOUNT,1705,-403931.1,,,403931.1,-1705.0
2024-07,RETURN,1172,-818296.48,1172.0,-818296.48,0.0,0.0
2024-07,SALE,57009,41793716.45,57009.0,41793716.45,0.0,0.0
2024-07,TAX,12671,3500914.08,,,-3500914.08,-12671.0
2024-07,TENDER,12671,43796074.19,,,-43796074.19,-12671.0
2024-07,VOID,414,-276328.76,404.0,-278977.93,-2649.17,-10.0
2024-08,DISCOUNT,1941,-460631.7,,,460631.7,-1941.0
2024-08,RETURN,1422,-1025387.85,1422.0,-1025387.85,0.0,0.0
2024-08,SALE,64163,46971400.4,64163.0,46971400.4,0.0,0.0
2024-08,TAX,14277,3924617.68,,,-3924617.68,-14277.0
2024-08,TENDER,14277,49176799.43,,,-49176799.43,-14277.0
2024-08,VOID,404,-233199.1,393.0,-234736.13,-1537.03,-11.0
2024-09,DISCOUNT,1930,-473466.83,,,473466.83,-1930.0
2024-09,RETURN,1413,-1030200.36,1413.0,-1030200.36,0.0,0.0
2024-09,SALE,62794,46388130.35,62794.0,46388130.35,0.0,0.0
2024-09,TAX,13910,3889023.95,,,-3889023.95,-13910.0
2024-09,TENDER,13910,48504061.41,,,-48504061.41,-13910.0
2024-09,VOID,407,-269425.7,399.0,-272407.9,-2982.2,-8.0
2024-10,DISCOUNT,2439,-570249.25,,,570249.25,-2439.0
2024-10,RETURN,1647,-1227577.59,1647.0,-1227577.59,0.0,0.0
2024-10,SALE,79295,58538816.55,79295.0,58538816.55,0.0,0.0
2024-10,TAX,17550,4891638.11,,,-4891638.11,-17550.0
2024-10,TENDER,17550,61250834.03,,,-61250834.03,-17550.0
2024-10,VOID,526,-381793.79,511.0,-384019.45,-2225.66,-15.0
2024-11,DISCOUNT,2180,-514309.19,,,514309.19,-2180.0
2024-11,RETURN,1760,-1275837.91,1760.0,-1275837.91,0.0,0.0
2024-11,SALE,72252,53736011.07,72252.0,53736011.07,0.0,0.0
2024-11,TAX,16089,4468164.75,,,-4468164.75,-16089.0
2024-11,TENDER,16089,56052003.22,,,-56052003.22,-16089.0
2024-11,VOID,520,-362025.5,503.0,-365124.51,-3099.01,-17.0
2024-12,DISCOUNT,2110,-512901.24,,,512901.24,-2110.0
2024-12,RETURN,1565,-1144992.16,1565.0,-1144992.16,0.0,0.0
2024-12,SALE,70460,52692638.6,70460.0,52692638.6,0.0,0.0
2024-12,TAX,15605,4446582.31,,,-4446582.31,-15605.0
2024-12,TENDER,15605,55191841.79,,,-55191841.79,-15605.0
2024-12,VOID,376,-289485.72,367.0,-290950.73,-1465.01,-9.0
