month,revenue_inr,pipeline_revenue,difference,abs_difference
2024-01,38446071.33,38446071.33,0.0,0.0
2024-02,34887085.55,34887085.55,0.0,0.0
2024-03,42457899.09,41971649.09,-486250.0,486250.0
2024-04,37958457.37,37958457.37,0.0,0.0
2024-05,41764716.4,41764716.4,0.0,0.0
2024-06,38987082.82,38987082.82,0.0,0.0
2024-07,40527291.81,40295160.11,-232131.70000000298,232131.70000000298
2024-08,45252181.75,45252181.75,0.0,0.0
2024-09,44615037.46,44615037.46,0.0,0.0
2024-10,56359195.92,56359195.92,0.0,0.0
2024-11,51583838.47,51583838.47,0.0,0.0
2024-12,50745209.0,50745259.48,50.479999996721745,50.479999996721745
